T23,"Production, trade and supply of energy",,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
21,Northern America,1995,Total supply (petajoules),"96,456",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2000,Total supply (petajoules),"105,824",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2005,Total supply (petajoules),"108,567",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2010,Total supply (petajoules),"103,694",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2015,Total supply (petajoules),"103,038",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2019,Total supply (petajoules),"105,390",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2020,Total supply (petajoules),"97,274",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2021,Total supply (petajoules),"101,881",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,1995,Supply per capita (gigajoules),327,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2000,Supply per capita (gigajoules),338,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2005,Supply per capita (gigajoules),330,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2010,Supply per capita (gigajoules),300,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2015,Supply per capita (gigajoules),286,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2019,Supply per capita (gigajoules),283,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2020,Supply per capita (gigajoules),260,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
21,Northern America,2021,Supply per capita (gigajoules),271,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,1995,Primary energy production (petajoules),"30,187",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2000,Primary energy production (petajoules),"35,371",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2005,Primary energy production (petajoules),"40,887",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2010,Primary energy production (petajoules),"41,800",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2015,Primary energy production (petajoules),"42,357",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2019,Primary energy production (petajoules),"38,088",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2020,Primary energy production (petajoules),"35,753",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2021,Primary energy production (petajoules),"36,074",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,1995,Net imports [Imports - Exports - Bunkers] (petajoules),"-7,911",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2000,Net imports [Imports - Exports - Bunkers] (petajoules),"-9,753",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2005,Net imports [Imports - Exports - Bunkers] (petajoules),"-11,769",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2010,Net imports [Imports - Exports - Bunkers] (petajoules),"-8,792",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2015,Net imports [Imports - Exports - Bunkers] (petajoules),"-6,937",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2019,Net imports [Imports - Exports - Bunkers] (petajoules),"-3,384",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2020,Net imports [Imports - Exports - Bunkers] (petajoules),"-4,304",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2021,Net imports [Imports - Exports - Bunkers] (petajoules),"-1,746",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,1995,Changes in stocks (petajoules),-13,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2000,Changes in stocks (petajoules),91,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2005,Changes in stocks (petajoules),-260,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2010,Changes in stocks (petajoules),-114,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2015,Changes in stocks (petajoules),-64,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2019,Changes in stocks (petajoules),-82,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2020,Changes in stocks (petajoules),"-1,056",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2021,Changes in stocks (petajoules),-472,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,1995,Total supply (petajoules),"22,290",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2000,Total supply (petajoules),"25,527",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2005,Total supply (petajoules),"29,376",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2010,Total supply (petajoules),"33,123",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2015,Total supply (petajoules),"35,484",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2019,Total supply (petajoules),"34,786",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2020,Total supply (petajoules),"32,505",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2021,Total supply (petajoules),"34,798",,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,1995,Supply per capita (gigajoules),46,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2000,Supply per capita (gigajoules),49,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2005,Supply per capita (gigajoules),53,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2010,Supply per capita (gigajoules),56,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2015,Supply per capita (gigajoules),57,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
419,Latin America & the Caribbean,2019,Supply per capita (gigajoules),54,,"United Nations Statistics Division, New York, Energy Statistics Yearbook 2021, last accessed April 2024."
