T13,Gross domestic product and gross domestic product per capita,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
15,Northern Africa,2021,GDP per capita (US dollars),"3,339",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2022,GDP per capita (US dollars),"3,298",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,1995,GDP in constant 2015 prices (millions of US dollars),"354,910",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2005,GDP in constant 2015 prices (millions of US dollars),"557,673",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2010,GDP in constant 2015 prices (millions of US dollars),"700,055",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2015,GDP in constant 2015 prices (millions of US dollars),"772,568",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2020,GDP in constant 2015 prices (millions of US dollars),"869,168",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2021,GDP in constant 2015 prices (millions of US dollars),"932,388",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2022,GDP in constant 2015 prices (millions of US dollars),"959,918",,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,1995,GDP real rates of growth (percent),2.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
15,Northern Africa,2005,GDP real rates of growth (percent),6.0,,"United Nations Statistics Division, New York, National Accounts Statistics: Analysis of Main Aggregates (AMA) database, last accessed April 2024."
