T09,Public expenditure on education (as of 2021),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
32,Argentina,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2015,All staff compensation as % of total expenditure in public institutions (%),82.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2015,Capital expenditure as % of total expenditure in public institutions (%),10.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2015,Basic access to computers by level of education: Primary,58.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2015,Basic access to computers by level of education: Lower secondary,72,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2015,Basic access to computers by level of education: Upper secondary,75,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2021,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2021,All staff compensation as % of total expenditure in public institutions (%),88.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2021,Capital expenditure as % of total expenditure in public institutions (%),4.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2021,Basic access to computers by level of education: Primary,62.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2021,Basic access to computers by level of education: Lower secondary,57,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
32,Argentina,2021,Basic access to computers by level of education: Upper secondary,59,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),8.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2014,All staff compensation as % of total expenditure in public institutions (%),65.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2014,Capital expenditure as % of total expenditure in public institutions (%),26.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),11.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2015,All staff compensation as % of total expenditure in public institutions (%),88.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2022,All staff compensation as % of total expenditure in public institutions (%),72.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2022,Capital expenditure as % of total expenditure in public institutions (%),8.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2022,Basic access to computers by level of education: Primary,100.0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2022,Basic access to computers by level of education: Lower secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
51,Armenia,2022,Basic access to computers by level of education: Upper secondary,100,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
533,Aruba,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
533,Aruba,2005,All staff compensation as % of total expenditure in public institutions (%),90.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed April 2024."
