T26,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Emissions (thousand metric tons of carbon dioxide),"3,176",Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2005,Emissions (thousand metric tons of carbon dioxide),"1,920",Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2010,Emissions (thousand metric tons of carbon dioxide),"8,442",Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2015,Emissions (thousand metric tons of carbon dioxide),"9,509",Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2019,Emissions (thousand metric tons of carbon dioxide),"10,545",Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2020,Emissions (thousand metric tons of carbon dioxide),"11,251",Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2021,Emissions (thousand metric tons of carbon dioxide),"10,013",Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,1975,Emissions per capita (Kilograms of carbon dioxide),0.1,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,1985,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2005,Emissions per capita (Kilograms of carbon dioxide),0.1,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2010,Emissions per capita (Kilograms of carbon dioxide),0.3,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2015,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2019,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2020,Emissions per capita (Kilograms of carbon dioxide),0.3,Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
4,Afghanistan,2021,Emissions per capita (Kilograms of carbon dioxide),0.3,Estimate.;Data refer to fiscal years beginning 21 March.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),"4,224",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),"7,470",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),"4,061",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),"4,072",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2015,Emissions (thousand metric tons of carbon dioxide),"3,809",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2019,Emissions (thousand metric tons of carbon dioxide),"3,973",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2020,Emissions (thousand metric tons of carbon dioxide),"3,451",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2021,Emissions (thousand metric tons of carbon dioxide),"3,903",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1975,Emissions per capita (Kilograms of carbon dioxide),1.8,Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,1985,Emissions per capita (Kilograms of carbon dioxide),2.5,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2005,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2010,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2015,Emissions per capita (Kilograms of carbon dioxide),1.3,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2019,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2020,Emissions per capita (Kilograms of carbon dioxide),1.2,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
8,Albania,2021,Emissions per capita (Kilograms of carbon dioxide),1.4,,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),"16,361",Estimate.,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),"52,394",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),"91,028",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),"95,093",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2015,Emissions (thousand metric tons of carbon dioxide),"126,137",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2019,Emissions (thousand metric tons of carbon dioxide),"144,053",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
12,Algeria,2020,Emissions (thousand metric tons of carbon dioxide),"133,590",,"United Nations Statistics Division, New York, Energy Statistics Section, last accessed Feb. 2024."
