"CBSA","CBSA Code","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Mount Vernon-Anacortes, WA","34580",2012,366,357,9,0,0,0,0,71,42,31,0,61,190,115,0
"Muncie, IN","34620",2012,240,126,106,8,0,0,0,136,84,48,0,0,156,84,0
"Muscatine, IA","34700",2012,366,124,238,3,1,0,0,155,72,55,0,0,0,366,0
"Muskegon, MI","34740",2012,242,149,58,26,9,0,0,195,115,45,0,0,169,73,0
"Muskogee, OK","34780",2012,322,300,22,0,0,0,0,90,46,26,0,0,0,0,322
"Napa, CA","34900",2012,366,224,142,0,0,0,0,85,66,44,2,5,154,205,0
"Naples-Immokalee-Marco Island, FL","34940",2012,365,254,111,0,0,0,0,86,58,44,0,0,102,263,0
"Nashville-Davidson--Murfreesboro--Franklin, TN","34980",2012,366,113,222,27,4,0,0,187,97,55,0,2,124,240,0
"New Castle, IN","35220",2012,119,65,54,0,0,0,0,76,65,47,0,0,0,119,0
"New Castle, PA","35260",2012,366,306,50,9,1,0,0,154,67,34,2,0,315,0,49
"New Haven-Milford, CT","35300",2012,366,120,220,19,7,0,0,187,81,54,0,0,85,281,0
"New Orleans-Metairie, LA","35380",2012,366,84,265,17,0,0,0,129,84,58,0,0,96,270,0
"New York-Newark-Jersey City, NY-NJ-PA","35620",2012,366,63,264,33,6,0,0,174,101,61,0,15,110,240,1
"Niles-Benton Harbor, MI","35660",2012,244,142,72,26,3,1,0,208,112,46,0,0,171,73,0
"Nogales, AZ","35700",2012,337,222,114,1,0,0,0,107,64,42,0,0,0,45,292
"North Port-Sarasota-Bradenton, FL","35840",2012,366,158,205,3,0,0,0,119,70,52,0,0,101,265,0
"Norwich-New London, CT","35980",2012,339,166,159,10,4,0,0,197,71,51,0,0,106,233,0
"Ocala, FL","36100",2012,366,209,157,0,0,0,0,84,60,48,0,0,72,294,0
"Odessa, TX","36220",2012,366,190,176,0,0,0,0,81,60,49,0,0,0,366,0
"Ogden-Clearfield, UT","36260",2012,366,130,213,22,1,0,0,167,90,54,0,8,192,165,1
"Oklahoma City, OK","36420",2012,366,98,229,36,3,0,0,164,101,58,0,12,151,201,2
"Olympia-Tumwater, WA","36500",2012,361,271,86,3,1,0,0,153,63,35,0,0,117,244,0
"Omaha-Council Bluffs, NE-IA","36540",2012,366,90,256,20,0,0,0,140,90,59,0,0,86,164,116
"Orlando-Kissimmee-Sanford, FL","36740",2012,366,222,137,7,0,0,0,140,63,47,0,0,141,225,0
"Othello, WA","36830",2012,366,330,36,0,0,0,0,89,50,21,0,0,0,366,0
"Owensboro, KY","36980",2012,366,191,149,22,4,0,0,190,90,49,0,9,165,192,0
"Oxford, NC","37080",2012,214,166,43,4,1,0,0,154,71,42,0,0,214,0,0
"Oxnard-Thousand Oaks-Ventura, CA","37100",2012,366,116,218,31,1,0,0,154,97,58,0,2,193,170,1
"Paducah, KY-IL","37140",2012,365,187,149,24,4,1,0,202,93,50,0,16,188,160,1
"Pahrump, NV","37220",2012,366,341,24,1,0,0,0,107,39,19,0,0,0,0,366
"Palatka, FL","37260",2012,352,349,3,0,0,0,0,63,26,17,0,0,0,0,352
"Palm Bay-Melbourne-Titusville, FL","37340",2012,366,216,147,3,0,0,0,122,62,46,0,0,124,242,0
"Panama City, FL","37460",2012,366,239,127,0,0,0,0,100,63,44,0,0,124,242,0
"Parkersburg-Vienna, WV","37620",2012,255,142,107,6,0,0,0,147,87,47,0,0,176,79,0
"Payson, AZ","37740",2012,364,148,187,28,1,0,0,163,97,54,0,0,198,4,162
"Pensacola-Ferry Pass-Brent, FL","37860",2012,366,169,193,4,0,0,0,115,71,51,0,0,112,254,0
"Peoria, IL","37900",2012,366,144,201,21,0,0,0,140,84,54,0,0,147,219,0
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","37980",2012,366,44,279,34,9,0,0,179,105,64,0,1,96,269,0
"Phoenix-Mesa-Scottsdale, AZ","38060",2012,366,19,236,92,11,4,4,605,133,84,0,5,130,60,171
"Pittsburgh, PA","38300",2012,366,38,281,42,5,0,0,172,108,66,0,1,81,284,0
"Pittsfield, MA","38340",2012,348,166,175,7,0,0,0,112,75,51,0,0,97,251,0
"Platteville, WI","38420",2012,362,219,143,0,0,0,0,93,62,43,0,0,0,362,0
"Pocatello, ID","38540",2012,366,225,134,4,3,0,0,180,69,42,0,0,0,317,49
"Ponca City, OK","38620",2012,312,111,182,18,1,0,0,159,91,55,0,0,152,160,0
"Ponce, PR","38660",2012,357,321,36,0,0,0,0,75,51,23,82,0,0,60,215
"Port Angeles, WA","38820",2012,366,242,124,0,0,0,0,83,61,43,0,0,123,243,0
